chembl_id,canonical_smiles,MW,LogP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,AromaticRings,AliphaticRings,HeteroAtoms,BalabanJ,BertzCT,HallKierAlpha,lipinski_pass,lipinski_violations,veber_pass
CHEMBL606548,CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc12,453.48600000000016,4.504000000000003,74.43,2,4,6,31,3,1,10,1.5361860052940712,1126.9616284303916,-2.719999999999999,True,0,True
CHEMBL1076077,CCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCn1ccnc1,853.1179999999998,7.170000000000007,194.91000000000003,7,8,30,62,4,0,13,1.409014046834952,1826.4945005932905,-5.85,False,3,False
CHEMBL1076221,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(Cl)cc21,418.8440000000002,3.4838000000000022,90.62000000000002,1,5,2,30,5,1,9,1.563436669836584,1446.7527225409021,-3.6499999999999995,True,0,True
CHEMBL1076101,CCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)Nc1ccccn1,699.8570000000001,3.885200000000002,206.88,7,8,22,51,4,0,14,1.4639037460707198,1557.402268053889,-5.529999999999999,False,2,False
CHEMBL1206994,CCCCCCCCCCCCSCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)NCC(=O)O,879.5189999999996,17.001099999999965,95.50000000000001,3,4,53,61,0,0,7,3.150149351294557,861.2640909696651,-1.24,False,2,False
CHEMBL155896,C[C@@H](O)C1=C[C@@H](n2cnc3c(N)nccc32)[C@H](O)[C@@H]1O,276.296,-0.4028000000000001,117.42,4,6,2,20,2,1,7,2.0990411906913504,653.7281891504784,-1.96,True,0,True
CHEMBL1097634,Cc1ccc(-c2cc(-c3ccccc3)nc(NC(=O)CN3CCOCC3)n2)cc1,388.4710000000003,3.3897200000000023,67.35000000000001,1,5,5,29,3,1,6,1.6190250760065852,941.0883005850582,-3.09,True,0,True
CHEMBL1209290,O=S(=O)(NCC(c1ccccc1)N1CCCCC1)c1ccc(Cl)cc1,378.92500000000007,3.845500000000003,49.410000000000004,1,3,6,25,2,1,6,1.766628516815175,741.4454265669142,-1.3999999999999995,True,0,True
CHEMBL1096822,CC(C)CNC(=O)c1cc(S(N)(=O)=O)ccc1SC(C)C,330.475,2.2203,89.25999999999999,2,4,6,21,1,0,7,3.187718079666412,580.4643673737444,-1.0499999999999998,True,0,True
CHEMBL1082437,Cn1ncc2c1CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C)c13)CNC2=O,426.5200000000002,4.3156000000000025,61.08,1,3,1,32,4,3,6,1.58394301364655,1424.738503470469,-3.1199999999999997,True,0,True
CHEMBL1075931,C=CCCCCCCN(CC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N(CCCCCCC=C)CC(=O)N[C@@H](CCC(=O)O)C(N)=O)[C@@H](C)O)C(=O)[C@@H]1CCCN1C(=O)CCCCNC(=S)Nc1ccc2c(c1)C1(OC2=O)c2ccc(O)cc2Oc2cc(O)ccc21,1529.8229999999996,5.221900000000008,409.83,10,18,38,109,3,6,31,0.7686769784590545,3728.5181775527844,-10.170000000000009,False,4,False
CHEMBL1076110,CCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCCCn1ccnc1,730.9149999999998,3.2545000000000037,211.81,7,8,25,53,4,0,15,1.4249227398599154,1566.5334796461318,-5.47,False,2,False
CHEMBL1077609,CC(C)(O)[C@H]1CC=C(C(=O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)CC1,346.3760000000001,-1.1730999999999998,136.68,5,8,4,24,0,2,8,1.8646314151928929,460.9202074357555,-1.0300000000000002,True,0,True
CHEMBL1076914,C[n+]1ccc(-c2c3nc(c(-c4cc[n+](C)cc4)c4ccc([nH]4)c(-c4cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c[n+](C)c4)c4nc(c(-c5cc[n+](C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1.[Cl-].[Cl-].[Cl-].[Cl-],1012.9169999999998,-1.3890999999999878,72.88,2,2,5,71,9,3,12,1.6899982348456727e-06,3657.033628334929,-7.2,True,1,True
